,二手车价格,品牌,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
8241,6.38,1,17.61,7.88,93,2,0,1,1,0,1,1,0,1,0,3,0
8242,6.5,1,15.17,12.4,105,1,0,1,1,1,1,1,1,0,0,1,9
8243,6.8,0,15.17,5.3,67,2,0,0,1,1,1,1,0,0,0,1,7
8244,6.8,1,21.69,12.09,126,1,0,1,1,4,1,1,1,0,0,3,1
8245,6.88,1,12.39,5.16,56,1,0,0,1,2,1,1,0,0,0,3,0
8246,6.9,1,12.49,3.1,64,1,0,0,1,1,1,0,1,0,0,3,0
8247,6.98,1,19.3,9.22,86,1,0,0,1,0,1,1,0,1,0,2,4
8248,6.88,1,19.78,7.75,73,2,0,0,1,1,1,1,0,0,0,1,8
8249,6.68,1,19.08,13.44,118,2,0,1,1,0,3,1,1,1,0,3,3
8250,6.28,1,14.63,10.92,96,1,0,1,1,1,1,0,0,0,0,3,0
8251,6.58,0,17.64,9.73,67,1,0,0,1,1,1,1,0,0,0,3,0
8252,6.8,1,22.69,8.26,83,2,0,0,1,0,3,1,0,1,0,3,2
8253,6.98,1,22.69,12.81,99,2,0,0,1,1,1,1,0,0,0,3,0
8254,6.5,1,16.26,8.78,79,1,0,1,1,1,1,1,0,0,0,1,11
8255,6.8,1,14.37,6.11,83,2,0,0,1,0,1,1,0,1,0,3,1
8256,6.58,1,44.29,12.75,151,2,0,1,1,1,1,0,0,0,0,1,6
8257,6.5,1,20.17,10.03,81,1,0,0,1,1,1,1,1,0,0,3,2
8258,6.2,1,22.99,9.35,110,1,0,1,1,0,3,1,1,1,0,3,0
8259,6.1,1,9.37,3.04,45,1,0,0,1,1,1,1,1,0,0,3,0
8260,6.98,1,46.46,12.8,134,1,0,1,1,1,1,1,0,0,0,1,10
8261,6.28,1,10.82,3.53,33,1,0,0,1,0,7,1,1,1,0,2,2
8262,6.5,1,17.5,10.05,89,2,0,1,1,0,7,1,0,1,0,3,0
8263,6.66,0,15.17,10.72,55,0,0,0,1,0,7,1,0,1,0,2,2
8264,6.0,1,9.36,2.7,43,0,0,0,1,1,3,1,0,0,0,3,0
8265,6.48,1,24.4,15.17,121,1,0,1,1,0,7,1,0,1,0,3,2
8266,6.48,1,13.33,7.22,84,1,0,0,1,0,7,1,1,1,0,3,4
8267,6.5,1,22.34,21.31,107,1,0,1,1,0,7,0,0,1,0,3,5
8268,6.8,1,13.01,3.05,67,0,0,0,1,0,3,1,0,1,0,3,0
8269,6.0,0,10.41,3.1,40,0,0,0,1,0,7,1,1,1,0,1,9
8270,6.8,0,19.79,7.47,68,2,0,0,1,0,7,1,0,1,0,3,5
8271,6.98,1,13.33,4.87,58,1,0,0,1,0,7,1,0,1,0,3,1
8272,6.6,1,19.84,14.04,101,0,0,1,1,0,7,0,0,1,0,3,0
8273,6.8,1,22.69,14.11,77,2,0,0,1,1,7,1,0,0,0,3,0
8274,6.31,1,11.45,3.47,43,0,0,0,1,1,1,0,0,0,0,3,4
8275,6.58,1,13.96,6.8,57,1,0,0,1,0,7,1,1,1,0,3,0
8276,7.0,0,37.22,15.84,107,1,0,1,1,0,7,1,0,1,0,3,0
8277,6.88,1,13.53,6.28,48,1,0,0,1,1,7,1,0,0,0,3,3
8278,6.2,1,11.14,4.13,53,0,0,0,1,1,7,1,1,0,0,3,0
8279,6.88,0,29.29,12.71,94,1,0,0,1,0,7,1,0,1,0,3,3
