,二手车价格,品牌,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
22902,15.0,奥迪,46.41,6.82,91,天津,0,1,1,0,7,1,1,1,0,3,0
22903,15.0,奥迪,44.48,14.16,105,石家庄,0,1,1,2,30,1,0,0,0,3,1
22904,14.7,大众,23.35,6.6,38,郑州,0,0,1,0,7,1,1,1,0,3,1
22905,15.0,宝马,97.26,17.33,143,沈阳,0,1,1,4,7,1,0,0,0,1,7
22906,14.6,本田,21.25,4.33,42,昆明,0,0,1,0,7,1,1,1,0,3,2
22907,14.08,宝马,60.74,18.31,122,佛山,0,1,1,0,15,1,0,1,0,3,1
22908,14.6,丰田,32.43,9.75,98,北京,0,1,1,0,7,1,0,1,0,2,5
22909,14.0,英菲尼迪,37.97,6.1,54,宁波,0,0,1,1,7,1,0,0,0,3,0
22910,14.0,奥迪,30.32,5.78,55,宁波,0,0,1,0,7,1,0,1,0,3,0
22911,14.5,大众,23.76,6.49,29,贵阳,0,0,1,1,7,0,1,0,0,3,0
22912,14.3,本田,16.67,1.07,16,北京,0,0,0,0,7,1,0,1,0,3,0
22913,14.0,大众,23.76,4.85,33,郑州,0,0,1,0,7,1,0,1,0,2,2
22914,15.0,本田,19.79,1.7,19,武汉,0,0,1,0,7,0,0,1,0,3,5
22915,14.88,奥迪,36.14,9.61,74,金华,0,1,1,0,7,0,0,1,0,1,9
22916,15.0,MINI,19.17,2.45,41,郑州,0,0,1,0,7,1,0,1,0,3,0
22917,15.0,MINI,24.38,2.83,65,合肥,0,0,1,0,7,1,0,1,0,3,2
22918,14.5,奥迪,51.3,12.34,120,沈阳,0,1,1,2,7,0,0,0,0,1,9
22919,14.98,保时捷,78.83,11.6,164,武汉,1,1,1,0,30,1,1,1,0,3,0
22920,14.5,大众,27.55,9.14,27,东莞,0,0,1,0,7,1,1,1,0,3,0
22921,15.0,丰田,21.47,1.95,25,东莞,0,0,1,0,7,1,0,1,0,3,0
22922,14.3,大众,28.87,9.84,26,昆明,0,0,1,1,7,1,0,0,0,3,0
22923,15.0,宝马,53.69,10.92,126,北京,0,1,1,0,7,1,0,1,0,3,2
22924,14.5,奔驰,29.82,12.04,77,沈阳,0,0,1,2,7,1,0,0,0,2,5
22925,14.8,大众,29.18,4.05,49,北京,0,0,1,0,7,1,0,1,0,3,3
