,汽车品牌,二手车价格,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
13394,奔驰,17.3,47.54,9.12,100,北京,0,1,1,0,1,1,0,1,0,3,0
13395,奔驰,15.5,28.13,9.66,75,北京,0,0,1,1,1,0,0,0,0,3,1
13396,宝马,15.88,38.41,15.47,62,北京,0,0,1,1,1,1,1,0,0,3,4
13397,奔驰,17.98,30.11,2.33,48,北京,0,0,1,0,1,1,0,1,0,3,0
13398,奥迪,15.5,44.48,14.13,82,毕节,0,1,1,1,7,0,0,0,0,3,4
13399,捷豹,15.6,59.7,4.45,101,北京,0,0,1,1,1,1,1,0,0,3,2
13400,凯迪拉克,17.4,29.72,6.65,51,北京,0,0,1,0,1,1,1,1,0,3,0
13401,日产,17.88,23.53,1.89,96,北京,0,0,1,1,1,1,0,0,1,3,0
13402,本田,16.88,20.52,4.2,23,北京,0,0,1,0,1,1,0,1,0,3,0
13403,英菲尼迪,16.88,77.94,18.45,99,惠州,0,0,1,0,1,1,0,1,0,1,12
13404,奔驰,15.28,41.03,8.23,84,武汉,0,1,1,0,7,1,1,1,0,3,3
13405,大众,15.28,27.13,6.74,52,北京,0,0,1,2,1,0,0,0,0,3,0
13406,丰田,17.0,21.69,1.77,29,郑州,0,0,1,0,1,1,1,1,0,3,0
13407,Jeep,17.5,62.95,9.36,89,北京,0,0,1,1,1,1,0,0,0,1,11
13408,广汽传祺,17.18,23.86,3.34,30,东莞,0,0,1,1,1,1,0,0,0,3,0
13409,林肯,16.0,60.76,7.32,61,南京,0,0,1,0,15,1,0,1,0,1,8
13410,别克,17.98,27.13,9.42,41,苏州,0,0,1,1,1,1,1,0,0,3,0
13411,大众,16.5,32.0,4.07,59,白城,0,0,1,0,7,1,0,1,0,3,1
13412,福特,17.08,34.71,7.87,76,北京,0,0,1,0,1,1,1,1,0,3,2
13413,宝马,15.8,54.23,27.33,95,石家庄,0,1,1,1,7,0,1,0,0,1,10
13414,大众,15.68,29.92,1.08,34,深圳,0,0,1,0,1,1,0,1,0,3,0
13415,宝马,16.98,68.34,12.22,118,北京,0,1,1,1,1,1,1,0,0,3,0
13416,奔驰,15.38,47.54,15.79,101,北京,0,1,1,4,1,1,0,0,0,1,11
13417,奔驰,18.0,27.61,8.12,37,北京,0,0,1,0,1,1,0,1,0,3,1
13418,别克,15.5,21.89,0.49,16,北京,0,0,1,0,1,1,0,1,0,3,0
13419,奔驰,16.3,63.83,8.3,122,北京,0,1,1,2,1,1,0,0,0,2,2
13420,奥迪,15.38,32.54,14.2,67,成都,0,0,1,2,1,1,1,0,0,1,8
13421,上汽大通MAXUS,15.0,29.29,3.39,38,北京,0,0,1,1,1,1,0,0,0,3,0
13422,凯迪拉克,16.98,32.55,6.19,32,北京,0,0,1,0,1,1,1,1,0,3,0
13423,宝马,17.8,49.89,15.74,110,北京,0,1,1,1,1,1,1,0,0,3,0
13424,奔驰,17.88,40.05,8.18,86,北京,0,0,1,1,1,1,0,0,0,3,3
13425,MINI,15.58,35.35,8.75,95,南京,0,1,1,1,1,0,0,0,0,3,1
13426,大众,15.8,39.14,7.6,82,北京,0,0,1,1,1,1,1,0,0,3,0
13427,沃尔沃,16.5,47.75,9.66,86,北京,0,1,1,1,1,1,1,0,0,3,0
13428,凯迪拉克,15.12,29.72,3.09,35,北京,0,0,1,1,1,1,1,0,0,3,0
13429,凯迪拉克,17.8,29.72,4.48,32,北京,0,0,1,1,1,1,0,0,0,3,1
13430,大众,15.98,23.65,4.67,38,北京,0,0,1,0,1,0,0,1,0,3,0
13431,路虎,17.68,49.71,8.91,68,北京,0,0,1,1,1,1,0,0,0,3,3
13432,宝马,17.0,60.74,10.46,109,北京,0,1,1,0,1,1,1,1,0,3,0
13433,本田,16.7,18.75,1.14,26,天津,0,0,1,1,1,1,1,0,0,3,3
13434,大众,15.5,27.13,4.81,48,北京,0,0,1,0,1,0,0,1,0,3,5
13435,MINI,16.2,36.8,10.0,85,北京,0,0,1,0,1,1,0,1,0,3,2
13436,大众,16.8,78.15,11.44,138,北京,0,1,1,1,1,1,1,0,0,3,0
13437,本田,16.38,19.79,1.78,24,贵阳,0,0,1,0,1,0,0,1,0,3,0
13438,路虎,17.58,44.29,12.68,59,贵阳,0,0,1,0,1,1,0,1,0,3,0
13439,本田,17.5,22.29,8.05,30,北京,0,0,1,1,1,1,1,0,0,3,0
13440,宝马,17.2,53.69,8.15,109,北京,0,1,1,0,1,1,0,1,0,3,4
13441,克莱斯勒,16.5,43.41,3.93,72,北京,0,0,1,2,1,0,0,0,0,1,6
13442,奥迪,16.68,108.33,12.53,143,北京,0,1,1,1,1,1,0,0,0,2,1
13443,福特,16.7,34.71,10.62,60,北京,0,0,1,0,1,1,1,1,0,3,0
13444,英菲尼迪,15.68,37.97,11.37,60,广州,0,0,1,0,1,1,1,1,0,3,2
13445,奔驰,15.2,27.4,6.13,43,苏州,0,0,1,1,1,1,0,0,0,2,3
13446,雷克萨斯,17.7,53.84,15.22,101,北京,0,0,1,0,1,1,0,1,0,1,6
13447,宝马,16.58,60.74,10.84,115,北京,0,1,1,1,1,1,0,0,0,3,4
13448,大众,17.95,25.02,0.24,60,开封,0,0,1,0,1,1,0,1,1,3,0
13449,奥迪,17.38,68.12,10.64,117,北京,0,1,1,0,1,0,0,1,0,3,3
13450,奥迪,15.58,39.4,8.99,72,北京,0,0,1,0,1,0,0,1,0,1,6
13451,奔驰,17.3,43.2,9.91,93,北京,0,0,1,1,1,1,0,0,0,3,5
13452,奔驰,15.8,37.97,8.04,77,北京,0,0,1,0,1,1,0,1,0,3,0
13453,奥迪,17.5,36.88,5.51,64,贵阳,0,0,1,0,1,1,0,1,0,3,0
13454,宝马,16.98,41.23,8.03,52,广州,0,0,1,0,1,1,1,1,0,2,5
13455,凯迪拉克,15.0,29.72,3.11,39,盐城,0,0,1,0,1,1,1,1,0,3,1
13456,宝马,15.2,29.82,5.61,63,北京,0,0,1,1,1,1,1,0,0,3,0
13457,宝马,17.98,34.74,9.2,59,北京,0,0,1,0,1,1,0,1,0,3,0
13458,大众,16.5,25.5,6.94,50,北京,0,0,1,0,1,1,1,1,0,3,0
13459,马自达,18.0,23.75,0.38,15,成都,0,0,1,0,1,1,1,1,0,3,3
13460,奔驰,15.5,62.85,8.41,103,北京,0,1,1,2,1,1,0,0,0,3,0
13461,奔驰,15.98,28.34,5.41,53,北京,0,0,1,0,1,1,0,1,0,3,3
13462,大众,15.5,89.99,13.14,136,北京,0,1,1,3,1,0,0,0,0,1,7
13463,日产,16.8,32.33,7.55,53,北京,0,0,1,0,1,1,1,1,0,3,3
13464,别克,15.5,33.19,5.56,58,北京,0,0,1,0,1,1,0,1,0,3,0
13465,雷克萨斯,17.3,38.97,10.64,95,北京,0,0,1,2,1,1,0,0,0,1,10
13466,凯迪拉克,15.88,31.89,6.06,43,昆明,0,0,1,1,60,0,0,0,0,3,0
13467,奔驰,15.0,30.22,8.85,60,苏州,0,1,1,1,1,0,1,0,0,3,3
13468,奔驰,17.8,23.96,5.38,37,佛山,0,0,1,0,120,0,0,1,0,3,0
13469,大众,16.9,85.75,11.8,120,郑州,0,1,1,3,60,0,0,0,0,1,10
13470,别克,15.0,31.47,3.02,51,商丘,0,0,1,2,60,0,1,0,0,3,0
13471,日产,15.6,20.39,1.23,16,郑州,0,0,1,0,120,1,0,1,0,3,0
13472,本田,15.0,26.03,6.67,62,太原,0,1,1,1,120,1,0,0,0,3,3
13473,凯迪拉克,15.0,29.72,2.77,45,大连,0,0,1,0,120,0,0,1,0,3,2
13474,大众,15.3,25.5,5.33,55,廊坊,0,0,1,0,120,1,1,1,0,3,0
13475,奥迪,15.5,22.91,2.57,27,开封,0,0,1,0,60,1,0,1,0,3,0
13476,红旗,15.38,23.21,1.56,31,郑州,0,0,1,1,120,1,0,0,0,3,2
13477,本田,18.0,20.83,0.97,13,重庆,0,0,1,0,60,0,0,1,0,3,1
13478,宝马,15.88,21.25,0.52,17,莆田,0,0,1,0,120,1,0,1,0,3,0
13479,丰田,17.68,21.69,2.32,33,莆田,0,0,1,0,120,1,0,1,0,3,0
13480,丰田,16.6,23.86,4.09,47,南京,0,0,1,0,120,1,0,1,0,3,2
13481,广汽传祺,16.8,23.53,4.89,38,天津,0,0,1,0,60,1,0,1,0,3,0
13482,奥迪,15.5,42.07,13.88,86,武汉,0,0,1,0,120,1,0,1,0,1,6
13483,大众,17.9,23.35,6.16,31,日照,0,0,1,2,120,1,0,0,0,3,0
13484,奥迪,15.8,35.58,5.65,61,日照,0,0,1,2,120,1,0,0,0,3,0
13485,宝马,17.0,128.95,13.2,129,郑州,0,1,1,6,120,1,0,0,0,2,4
13486,奔驰,16.5,30.11,4.34,48,郑州,0,0,1,0,120,1,0,1,0,3,5
13487,奥迪,17.2,36.14,11.11,70,淄博,0,0,1,1,60,1,0,0,0,3,3
13488,别克,17.2,29.3,1.8,36,乌鲁木齐,0,0,1,0,120,1,0,1,0,3,0
13489,日产,17.28,24.51,2.87,46,平顶山,0,0,1,0,120,1,0,1,0,3,0
13490,奥迪,18.0,51.3,11.38,109,银川,0,1,1,1,120,0,0,0,0,1,11
13491,克莱斯勒,16.0,43.41,18.63,87,郑州,0,1,1,0,120,0,0,1,0,1,8
13492,宝马,16.3,32.3,10.61,71,郑州,0,0,1,1,120,1,0,0,0,3,3
13493,奔驰,17.5,86.62,20.18,103,上海,0,1,1,0,120,1,1,1,0,1,6
13494,奔驰,17.5,33.97,10.59,86,西安,0,0,1,0,120,1,1,1,0,3,2
13495,宝马,16.6,60.74,10.81,102,大理,0,1,1,2,120,1,0,0,0,3,0
13496,丰田,16.88,21.36,3.61,34,湛江,0,0,1,1,120,1,1,0,0,3,0
13497,奥迪,15.0,33.95,8.14,74,郑州,0,0,1,1,60,1,0,0,0,2,4
13498,路虎,15.58,58.4,9.73,90,郑州,0,1,1,2,120,1,0,0,0,1,12
13499,日产,15.5,21.25,4.72,15,重庆,0,0,1,0,30,0,0,1,0,3,0
13500,奥迪,16.2,33.95,10.61,70,阜阳,0,0,1,1,120,1,0,0,0,3,0
13501,别克,15.88,25.0,3.04,41,株洲,0,0,1,1,120,1,0,0,0,3,0
13502,福特,16.0,32.54,6.42,57,重庆,0,0,1,1,60,0,1,0,0,1,6
13503,宝马,16.3,31.91,10.45,66,东营,0,0,1,0,120,1,0,1,0,3,2
13504,宝马,15.0,49.61,18.16,95,重庆,0,1,1,0,30,0,0,1,0,1,8
13505,日产,16.28,21.63,1.23,22,怀化,0,0,1,0,120,1,0,1,0,2,2
13506,奔驰,15.0,28.13,6.52,80,郑州,0,1,1,0,120,1,0,1,0,3,5
13507,福特,17.8,29.29,3.88,43,重庆,0,1,1,0,15,0,0,1,0,3,5
13508,MINI,16.2,26.59,4.32,73,日照,0,0,1,3,120,1,0,0,0,3,1
13509,日产,15.88,26.68,14.15,41,郑州,0,0,1,1,120,1,0,0,0,2,5
13510,领克,17.5,21.9,0.3,15,郑州,0,0,1,0,120,1,0,1,0,3,0
13511,奥迪,15.0,33.95,6.54,74,重庆,0,1,1,0,60,0,0,1,0,3,3
13512,宝马,16.8,47.65,8.22,69,郑州,0,0,1,1,120,1,1,0,0,1,6
13513,MINI,16.0,19.9,2.36,21,重庆,0,0,1,0,30,0,0,1,0,3,3
13514,大众,15.5,23.35,3.45,36,重庆,0,0,1,1,60,1,0,0,0,3,2
13515,大众,16.0,24.87,3.71,34,重庆,0,0,1,0,60,1,0,1,0,3,2
13516,Jeep,18.0,31.46,5.27,32,重庆,0,0,1,0,60,1,0,1,0,3,0
13517,大众,16.99,23.98,1.43,13,重庆,0,0,1,0,30,0,0,1,1,3,0
13518,大众,15.0,19.69,3.13,40,广安,0,0,1,0,30,0,0,1,0,3,2
13519,大众,16.0,23.76,4.41,33,重庆,0,0,1,0,120,0,0,1,0,2,3
13520,宝马,16.5,35.36,7.76,76,重庆,0,0,1,2,120,1,0,0,0,1,11
13521,福特,16.0,36.88,8.93,68,重庆,0,0,1,0,30,0,0,1,0,2,3
13522,起亚,15.0,31.02,9.72,80,重庆,0,1,1,0,120,0,0,1,0,1,7
13523,领克,18.0,24.84,1.57,23,重庆,0,0,1,0,30,1,0,1,0,3,1
13524,雷克萨斯,18.0,30.28,15.13,72,重庆,0,0,1,1,30,0,0,0,0,1,9
13525,哈弗,17.0,27.12,6.32,41,重庆,0,0,1,0,15,0,0,1,0,2,3
13526,宝马,16.38,53.69,13.07,111,佛山,0,1,1,0,30,1,1,1,0,3,2
13527,本田,16.58,21.56,4.09,26,东莞,0,0,1,0,30,1,0,1,0,3,0
13528,雷克萨斯,18.0,29.09,2.3,33,镇江,0,0,1,0,30,1,0,1,0,3,0
13529,凯迪拉克,15.8,31.89,6.64,50,沈阳,0,0,1,1,30,1,1,0,0,3,3
13530,凯迪拉克,15.5,43.4,11.41,89,重庆,0,1,1,0,30,0,0,1,0,1,10
13531,捷豹,17.5,47.33,8.07,65,重庆,0,0,1,3,120,0,0,0,0,1,11
13532,宝马,18.0,110.5,6.82,129,温州,0,1,1,0,120,0,0,1,0,1,14
13533,大众,16.88,23.87,1.54,16,郑州,0,0,1,0,30,1,0,1,0,3,0
13534,丰田,15.5,32.43,7.59,97,赤峰,0,1,1,1,30,1,1,0,0,3,0
13535,奥迪,15.0,44.48,14.18,93,重庆,0,1,1,2,60,0,0,0,0,1,9
13536,领克,17.0,21.69,1.2,17,德宏,0,0,1,0,30,0,0,1,0,3,0
13537,本田,18.0,20.83,0.75,120,重庆,0,0,1,0,60,1,0,1,1,3,1
13538,宝马,16.8,28.86,9.02,41,廊坊,0,0,1,0,30,1,0,1,0,3,0
13539,奔驰,15.8,52.65,7.81,96,西安,0,0,1,0,60,1,0,1,0,3,2
13540,大众,16.0,25.5,8.94,43,重庆,0,0,1,0,120,0,0,1,0,3,0
13541,路虎,18.0,50.8,8.81,75,重庆,0,0,1,0,60,0,0,1,0,3,0
13542,领克,16.5,21.69,3.26,20,重庆,0,0,1,0,60,1,0,1,0,3,0
13543,MINI,17.5,21.56,3.15,53,重庆,0,0,1,1,60,0,0,0,0,3,3
13544,路虎,17.5,49.71,5.64,58,济南,0,0,1,1,30,1,0,0,0,3,3
13545,本田,17.5,28.63,13.03,66,北京,0,0,1,2,30,1,0,0,0,3,2
13546,凯迪拉克,15.0,37.98,9.06,72,重庆,0,0,1,1,15,1,0,0,0,1,9
13547,宝马,17.0,34.39,5.13,49,重庆,0,0,1,1,15,1,0,0,0,3,3
13548,奔驰,15.98,50.8,9.89,88,重庆,0,1,1,0,30,0,0,1,0,1,10
13549,林肯,16.8,54.25,9.24,55,重庆,0,0,1,1,15,0,0,0,0,3,1
13550,宝马,17.0,35.36,8.09,71,重庆,0,0,1,0,30,1,0,1,0,3,4
13551,宝马,17.5,114.52,14.22,131,宁波,0,1,1,2,30,1,0,0,0,3,12
13552,奥迪,15.5,38.32,10.03,83,重庆,0,0,1,0,30,0,0,1,0,1,6
13553,丰田,16.6,28.09,10.24,78,重庆,0,0,1,0,30,0,0,1,0,3,5
13554,日产,15.5,26.3,2.58,38,重庆,0,0,1,0,30,0,0,1,0,2,3
13555,路虎,17.58,43.2,15.26,70,重庆,0,0,1,0,30,0,0,1,0,2,5
13556,日产,16.0,20.39,3.58,24,重庆,0,0,1,0,60,0,0,1,0,3,3
13557,MINI,15.0,36.39,8.11,95,北京,0,1,1,1,30,1,1,0,0,3,4
13558,宝马,17.8,52.43,11.06,87,重庆,0,0,1,2,30,1,0,0,0,3,0
13559,宝马,16.8,32.31,5.78,58,合肥,0,0,1,0,30,1,0,1,0,1,6
13560,宝马,18.0,37.64,5.34,51,郑州,0,0,1,0,30,1,0,1,0,3,0
13561,上汽大通MAXUS,15.8,20.28,3.6,31,洛阳,0,0,1,0,30,1,0,1,0,3,0
13562,MINI,15.5,24.38,4.12,61,濮阳,0,0,1,2,30,1,0,0,0,3,0
13563,大众,16.88,34.39,6.38,44,东莞,0,0,1,0,60,1,0,1,0,0,2
13564,大众,17.5,22.77,2.63,18,宜宾,0,0,1,1,60,1,0,0,0,3,0
13565,英菲尼迪,17.2,46.65,8.69,68,北京,0,0,1,1,60,1,0,0,0,1,7
13566,大众,15.88,24.87,3.87,34,郑州,0,0,1,0,60,1,0,1,0,3,2
13567,MINI,15.58,30.86,5.08,70,北京,0,0,1,0,60,1,1,1,0,3,0
13568,宝马,18.0,50.65,10.46,101,北京,0,0,1,0,60,1,1,1,0,3,1
13569,沃尔沃,15.9,41.13,11.81,66,北京,0,0,1,1,60,1,1,0,0,1,7
13570,凯迪拉克,17.98,45.58,9.71,62,郑州,0,0,1,0,60,1,1,1,0,2,2
13571,宝马,16.5,35.38,17.55,61,东莞,0,0,1,0,60,1,0,1,0,1,8
13572,宝马,15.3,52.43,13.57,99,无锡,0,0,1,2,30,1,1,0,0,1,10
13573,宝马,16.98,28.86,3.01,39,郑州,0,0,1,0,30,1,1,1,0,3,0
13574,宝马,16.0,52.84,15.23,86,东莞,0,0,1,2,15,1,0,0,0,3,2
13575,本田,15.2,20.1,4.79,26,广州,0,0,1,0,30,1,0,1,0,3,0
13576,大众,16.0,28.32,1.9,41,郑州,0,0,1,1,60,1,0,0,0,3,2
13577,宝马,15.9,53.69,13.58,106,北京,0,1,1,0,30,1,1,1,0,3,0
13578,宝马,16.0,34.39,10.49,55,天津,0,0,1,1,15,1,0,0,0,3,0
13579,奥迪,16.8,43.46,16.2,69,郑州,0,0,1,2,15,1,1,0,0,3,5
13580,丰田,15.2,20.28,4.0,33,岳阳,0,0,1,0,15,1,0,1,0,3,0
13581,上汽大通MAXUS,16.8,15.07,2.85,69,石家庄,0,0,1,1,30,1,1,0,0,3,0
13582,丰田,18.0,32.43,12.75,89,北京,0,0,1,0,30,1,0,1,0,3,1
13583,宝马,15.8,37.97,6.17,72,成都,0,0,1,1,15,1,1,0,0,1,7
13584,奔驰,18.0,71.97,8.36,109,商丘,0,1,1,2,15,1,1,0,0,3,3
13585,宝马,17.5,37.97,7.65,70,郑州,0,0,1,2,60,1,0,0,0,3,2
13586,大众,16.8,34.71,8.84,61,北京,0,0,1,1,30,1,1,0,0,3,0
13587,本田,15.38,22.29,7.94,57,佛山,0,0,1,0,15,1,1,1,0,3,1
13588,宝马,18.0,29.18,1.08,108,北京,0,0,1,0,15,1,0,1,1,3,0
13589,奔驰,17.5,28.65,3.25,44,无锡,0,0,1,0,15,1,1,1,0,3,5
13590,宝马,16.0,28.86,2.59,38,武汉,0,0,1,0,15,1,0,1,0,3,0
13591,本田,16.0,18.75,4.85,21,广州,0,0,1,0,15,1,1,1,0,3,0
13592,大众,16.3,24.87,5.0,29,贵阳,0,0,1,1,15,0,0,0,0,3,2
13593,宝马,17.8,109.09,12.5,118,成都,0,1,1,3,60,1,0,0,0,3,0
13594,宝马,15.98,35.36,6.05,74,郑州,0,0,1,0,30,1,0,1,0,1,6
13595,路虎,16.8,54.06,8.12,59,合肥,0,0,1,4,30,1,0,0,0,3,3
13596,奥迪,17.0,46.85,6.93,86,青岛,0,1,1,0,60,1,0,1,0,3,2
13597,宝马,17.8,35.15,5.33,53,南京,0,0,1,0,30,1,0,1,0,1,6
13598,丰田,15.2,23.86,5.91,45,怀化,0,0,1,0,15,1,0,1,0,2,4
13599,别克,18.0,25.28,6.3,31,深圳,0,0,1,0,15,0,0,1,0,2,3
13600,大众,15.0,78.15,19.22,103,贵阳,0,1,1,0,15,0,0,1,0,1,13
13601,宝马,17.5,45.7,18.6,74,宁波,0,1,1,0,15,1,0,1,0,3,0
13602,奔驰,15.5,50.8,17.53,82,北京,0,0,1,3,30,1,0,0,0,1,6
13603,宝马,17.5,49.06,9.72,73,北京,0,0,1,2,30,1,0,0,0,2,4
13604,奥迪,15.0,36.14,7.95,70,北京,0,0,1,0,15,1,0,1,0,1,7
13605,大众,15.6,23.76,2.81,32,昆明,0,0,1,1,60,1,1,0,0,3,0
13606,宝马,16.0,26.79,1.22,17,成都,0,0,1,0,15,1,0,1,0,3,1
13607,凯迪拉克,15.8,32.55,8.1,45,仙桃,0,0,1,0,15,1,0,1,0,1,6
13608,奥迪,16.5,46.41,10.76,69,南京,0,0,1,3,15,0,0,0,0,1,6
13609,本田,18.0,20.83,0.5,108,东莞,0,0,1,0,15,1,1,1,1,3,0
13610,奥迪,17.0,43.64,16.46,75,泸州,0,0,1,0,60,1,0,1,0,3,0
13611,宝马,15.2,33.22,6.1,68,北京,0,0,1,2,15,1,1,0,0,3,0
13612,MINI,17.8,24.8,3.16,34,深圳,0,0,1,0,30,0,0,1,0,3,2
13613,本田,16.3,32.54,14.28,87,唐山,0,0,1,0,60,0,1,1,0,2,3
13614,丰田,17.28,22.12,3.55,28,长沙,0,0,1,0,15,1,0,1,0,3,0
13615,奥迪,15.98,22.82,1.06,29,菏泽,0,0,1,0,15,1,0,1,0,3,0
13616,宝马,16.6,34.39,5.69,40,苏州,0,0,1,0,15,1,1,1,0,3,3
13617,丰田,15.2,32.0,12.14,78,连云港,0,1,1,0,15,1,0,1,0,3,0
13618,本田,17.58,24.94,2.86,18,佛山,0,0,1,0,15,1,0,1,0,3,0
13619,奥迪,17.0,41.62,11.15,71,杭州,0,0,1,0,15,1,1,1,0,3,4
13620,大众,18.0,27.45,2.01,29,北京,0,0,1,0,15,1,1,1,0,2,4
13621,奥迪,15.0,22.82,4.68,22,沈阳,0,0,1,0,15,0,0,1,0,3,0
13622,宝马,17.5,54.23,18.01,98,苏州,0,0,1,0,15,1,1,1,0,3,2
13623,宝马,17.98,54.23,11.72,100,北京,0,1,1,0,15,1,0,1,0,1,6
13624,路虎,16.0,49.71,6.2,55,上海,0,0,1,1,15,1,0,0,0,3,1
13625,凯迪拉克,17.18,42.32,5.03,59,苏州,0,0,1,0,15,1,0,1,0,3,3
13626,本田,15.0,28.96,15.23,69,西安,0,0,1,0,15,1,0,1,0,3,4
13627,奔驰,16.98,43.4,14.95,81,西安,0,0,1,1,15,1,1,0,0,1,9
13628,福特,15.8,32.54,12.1,76,北京,0,0,1,1,7,1,0,0,0,3,1
13629,宝马,15.5,97.26,20.38,121,石家庄,0,1,1,1,15,1,0,0,0,1,7
13630,凯迪拉克,17.6,28.19,4.07,21,马鞍山,0,0,1,1,15,1,0,0,0,3,0
13631,奥迪,18.0,29.91,1.57,27,无锡,0,0,1,0,15,1,1,1,0,3,0
13632,奥迪,18.0,37.52,5.31,53,广州,0,0,1,0,15,1,0,1,0,3,0
13633,宝马,18.0,47.28,6.28,95,上海,0,1,1,1,15,1,0,0,0,3,1
13634,英菲尼迪,17.0,85.64,8.48,123,哈尔滨,0,1,1,0,15,1,0,1,0,3,0
13635,本田,15.5,27.12,9.34,68,广州,0,0,1,0,15,1,1,1,0,3,0
13636,大众,15.5,31.46,4.54,53,上海,0,0,1,0,15,0,0,1,0,3,0
13637,宝马,18.0,29.18,3.41,19,沈阳,0,0,1,0,15,1,1,1,0,3,1
13638,本田,15.2,21.25,4.73,24,深圳,0,0,1,0,15,1,0,1,0,2,5
13639,本田,15.8,26.46,5.13,55,徐州,0,0,1,0,15,1,0,1,0,3,4
13640,福特,15.3,34.95,7.63,53,昆明,0,0,1,0,15,1,0,1,0,3,0
13641,日产,15.8,25.92,0.36,24,贵阳,0,0,1,0,15,0,0,1,0,3,2
13642,福特,15.6,36.88,5.93,63,扬州,0,0,1,0,15,1,0,1,0,3,0
13643,本田,15.5,19.79,1.83,26,阜阳,0,0,1,0,15,1,0,1,0,3,0
13644,奥迪,18.0,54.99,15.36,94,青岛,0,1,1,4,7,0,0,0,0,1,7
13645,奔驰,15.9,48.74,7.01,65,北京,0,0,1,2,15,1,0,0,0,3,3
13646,凯迪拉克,17.98,34.72,2.78,45,成都,0,0,1,0,15,0,0,1,0,3,3
13647,大众,15.8,24.02,1.09,132,苏州,0,0,1,0,15,1,0,1,1,3,0
13648,林肯,17.5,50.89,4.7,42,杭州,0,0,1,0,15,1,0,1,0,3,0
13649,宝马,17.0,54.23,10.62,80,郑州,0,0,1,1,15,1,0,0,0,2,5
13650,宝马,17.28,45.7,8.98,71,合肥,0,0,1,0,15,1,1,1,0,2,3
13651,大众,17.0,25.26,2.55,96,上海,0,0,1,0,15,1,0,1,0,3,2
13652,奔驰,18.0,27.61,2.0,41,武汉,0,0,1,0,15,1,0,1,0,1,6
13653,丰田,16.88,23.86,2.71,45,兰州,0,0,1,0,15,0,0,1,0,3,0
13654,奥迪,17.5,33.32,5.22,52,无锡,0,0,1,0,15,1,0,1,0,3,0
13655,领克,16.66,25.6,2.84,24,贵阳,0,0,1,0,15,0,0,1,0,1,6
13656,奔驰,17.0,46.46,8.77,86,大连,0,0,1,0,15,1,1,1,0,3,0
13657,丰田,16.46,23.86,5.81,40,成都,0,0,1,0,30,0,0,1,0,3,3
13658,奔驰,16.5,48.74,9.74,72,北京,0,0,1,1,15,1,0,0,0,3,1
13659,沃尔沃,17.6,44.16,9.22,57,北京,0,0,1,0,15,1,1,1,0,3,3
13660,奥迪,16.0,24.86,1.65,13,天津,0,0,1,0,15,0,0,1,0,3,0
13661,宝马,15.5,31.91,6.5,58,南京,0,0,1,0,15,1,0,1,0,3,2
13662,路虎,15.8,43.94,12.33,50,北京,0,0,1,0,15,1,0,1,0,2,5
13663,林肯,18.0,33.52,4.72,37,重庆,0,0,1,0,60,1,0,1,0,3,0
13664,宝马,16.5,37.97,5.88,67,石家庄,0,0,1,0,15,1,0,1,0,2,1
13665,别克,16.6,24.95,11.77,38,重庆,0,0,1,2,60,0,0,0,0,1,9
13666,本田,16.9,22.94,4.28,47,天津,0,0,1,0,15,1,0,1,0,3,0
13667,依维柯,15.0,17.03,1.2,84,重庆,0,0,0,0,30,1,0,1,1,3,0
13668,宝马,16.5,53.69,10.24,108,郑州,0,1,1,2,30,1,0,0,0,2,1
13669,奔驰,17.4,27.61,8.2,42,郑州,0,0,1,1,120,1,0,0,0,3,2
13670,福特,15.0,54.25,9.98,90,重庆,0,1,1,0,30,0,1,1,0,1,6
13671,奥迪,17.8,46.41,8.21,68,无锡,0,0,1,0,15,1,1,1,0,3,1
13672,奥迪,16.85,44.48,10.56,81,重庆,0,0,1,2,60,0,0,0,0,3,3
13673,奔驰,16.5,28.13,5.37,66,郑州,0,0,1,0,60,1,0,1,0,3,0
13674,别克,15.2,26.03,6.36,33,临沂,0,0,1,0,3,1,0,1,0,3,4
13675,凯迪拉克,15.0,31.89,8.17,55,郑州,0,0,1,0,30,1,0,1,0,3,0
13676,大众,15.8,26.04,5.14,49,郑州,0,0,1,2,30,1,0,0,0,2,2
13677,丰田,15.0,21.69,4.23,32,郑州,0,0,1,0,30,0,0,1,0,2,1
13678,奔驰,16.0,63.83,10.08,122,重庆,0,1,1,0,15,1,0,1,0,3,1
13679,红旗,16.0,24.62,0.95,27,重庆,0,0,1,0,7,1,0,1,0,3,2
13680,日产,15.0,20.39,2.28,16,郑州,0,0,1,0,60,1,0,1,0,3,0
13681,丰田,18.0,21.69,3.88,26,郑州,0,0,1,0,60,1,0,1,0,3,0
13682,英菲尼迪,15.0,34.71,2.43,61,郑州,0,0,1,0,30,1,1,1,0,3,5
13683,宝马,16.8,114.52,12.83,138,郑州,0,1,1,1,60,1,0,0,0,3,2
13684,日产,17.0,26.3,5.48,33,重庆,0,0,1,0,30,1,0,1,0,3,0
13685,别克,16.5,24.95,12.72,61,郑州,0,0,1,0,30,0,0,1,0,3,0
13686,本田,18.0,20.83,0.75,120,重庆,0,0,1,0,60,1,0,1,1,3,1
13687,红旗,15.0,18.76,1.75,17,郑州,0,0,1,0,60,0,0,1,0,3,0
13688,福特,16.66,24.62,1.34,23,福州,0,0,1,1,3,1,1,0,0,3,0
