,汽车品牌,二手车价格,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
131,别克,2.3,10.1,12.71,100,宁波,0,1,0,4,30,1,0,0,0,1,7
132,北汽幻速,1.5,6.86,11.09,96,蚌埠,0,1,0,0,7,1,0,1,0,3,0
133,福特,2.38,16.71,18.54,145,东莞,0,1,1,0,30,1,0,1,0,3,3
134,本田,2.88,17.13,10.85,176,东莞,1,1,1,0,30,1,1,1,0,3,0
135,雪佛兰,2.58,14.86,13.78,127,东莞,0,1,1,0,30,1,0,1,0,3,3
136,长安,1.25,6.25,9.44,125,天津,0,1,0,0,30,1,1,1,0,3,0
137,现代,1.5,7.49,13.36,142,郑州,0,1,0,0,7,1,0,1,0,3,1
138,长安凯程,1.5,5.62,8.37,76,吉安,0,1,0,0,30,1,0,1,0,3,0
139,奇瑞,0.8,6.35,10.73,102,清远,0,1,0,0,7,1,1,1,0,3,4
140,长安,2.6,5.62,1.55,64,南阳,0,0,1,1,7,1,0,0,0,3,1
141,吉利汽车,2.68,6.87,6.98,49,南宁,0,0,1,0,7,1,0,1,0,1,10
142,华泰,1.98,16.26,10.66,143,昆明,0,1,0,0,30,1,1,1,0,3,3
143,现代,2.28,10.41,10.61,113,郑州,0,1,0,1,30,1,1,0,0,3,4
144,众泰,1.98,9.05,6.85,78,东莞,0,0,0,0,30,1,0,1,0,3,2
145,众泰,2.96,10.42,6.17,65,怀化,0,0,1,0,30,1,0,1,0,3,2
146,东南,2.5,6.87,14.04,67,东莞,0,0,0,0,30,1,1,1,0,3,4
147,雪铁龙,1.38,12.6,16.55,130,东莞,0,1,0,0,30,1,0,1,0,3,1
148,长安凯程,2.76,6.77,8.93,67,东莞,0,0,0,0,30,1,0,1,0,3,2
149,吉利汽车,1.68,7.49,9.55,117,天津,0,1,0,1,30,1,0,0,0,3,3
150,北汽新能源,1.35,24.07,7.94,90,北京,0,0,1,1,60,1,0,0,0,3,0
151,雪铁龙,2.68,12.18,7.46,120,东莞,0,1,1,0,30,1,0,1,0,3,1
152,雪佛兰,2.58,7.18,12.82,81,郑州,0,0,1,0,30,1,0,1,0,3,4
153,金杯,2.5,5.92,2.79,73,北京,0,0,0,0,30,1,1,1,0,3,2
154,名爵,2.0,7.99,6.42,113,乌鲁木齐,0,1,0,0,30,1,0,1,0,3,0
155,东风风神,2.9,10.2,11.74,85,武汉,0,0,1,0,7,1,1,1,0,3,0
156,五菱汽车,2.8,4.06,3.6,42,北京,0,0,0,0,7,1,0,1,0,3,0
157,猎豹汽车,3.0,11.48,6.26,76,重庆,0,0,0,0,7,0,0,1,0,1,11
158,雪佛兰,1.66,7.9,10.47,115,哈尔滨,0,1,1,0,7,0,0,1,0,1,6
159,大众,1.7,11.76,10.39,137,南京,0,1,0,0,7,0,0,1,0,3,4
160,大众,2.5,15.2,15.44,141,厦门,0,1,1,2,7,1,0,0,0,1,13
161,五菱汽车,3.0,4.25,2.34,132,湖州,0,0,0,0,7,1,1,1,0,3,0
162,现代,1.5,10.41,10.45,126,大同,0,1,0,1,3,1,0,0,0,3,5
163,长安,1.5,8.33,9.32,115,宁波,0,1,0,2,7,1,0,0,0,1,12
164,北汽威旺,2.8,7.07,8.07,52,宜春,0,0,0,0,7,1,1,1,0,1,7
165,观致,3.0,11.56,6.57,73,赤峰,0,0,1,1,30,1,1,0,0,3,1
166,一汽,0.4,4.99,7.31,137,唐山,0,1,0,3,7,1,1,0,0,3,3
167,雪铁龙,0.8,11.34,5.18,146,秦皇岛,0,1,0,0,7,1,0,1,0,3,1
168,别克,2.78,12.09,10.32,103,郑州,0,1,1,2,30,1,0,0,0,2,5
169,马自达,2.98,13.43,9.06,150,东莞,0,1,1,0,30,1,0,1,0,3,2
170,江淮,2.68,7.8,5.05,74,阳江,0,0,0,0,7,1,0,1,0,3,0
171,五菱汽车,2.8,4.78,10.48,59,宣城,0,0,0,0,3,1,0,1,0,3,0
172,东风风光,1.28,4.26,9.72,90,东莞,0,1,0,0,30,1,0,1,0,3,2
173,名爵,1.4,11.02,10.33,115,芜湖,0,1,0,3,7,1,0,0,0,1,7
174,雪佛兰,2.58,9.06,4.87,93,深圳,0,1,1,1,3,1,0,0,0,3,3
175,标致,2.5,10.83,2.46,110,烟台,0,1,0,0,60,1,0,1,0,2,2
176,大众,1.99,23.32,7.75,171,上海,0,1,1,0,7,1,0,1,0,3,1
177,雪佛兰,3.0,6.25,7.36,84,牡丹江,0,0,0,3,7,1,1,0,0,3,1
178,大众,1.8,11.76,14.02,133,哈尔滨,0,1,0,2,7,1,0,0,0,1,6
179,东风风行,2.0,6.25,24.06,91,郑州,0,1,0,0,7,1,0,1,0,1,11
180,日产,2.3,13.22,9.28,162,广州,0,1,1,0,7,1,0,1,0,2,1
181,别克,1.9,11.04,9.98,106,临沂,0,1,0,0,7,1,0,1,0,2,5
182,北京汽车,3.0,7.17,5.79,71,石家庄,0,0,1,0,7,1,0,1,0,3,0
183,大众,2.4,10.25,12.73,110,郑州,0,1,0,0,7,1,0,1,0,1,7
184,铃木,1.0,5.31,18.28,98,沈阳,0,1,0,0,7,0,0,1,0,1,8
185,东风风行,2.5,6.87,6.33,79,石家庄,0,0,0,3,7,1,1,0,0,3,2
186,雪铁龙,1.0,12.68,12.41,116,沈阳,0,1,0,2,7,0,0,0,0,1,8
187,雪佛兰,2.8,11.88,3.91,123,天津,0,1,0,0,7,1,0,1,0,3,3
188,长安,0.99,4.89,7.57,106,重庆,0,0,0,0,7,1,0,1,0,3,4
189,现代,1.0,12.49,13.95,151,南京,0,1,1,0,7,1,0,1,0,3,5
190,启辰,2.8,8.11,6.77,101,广州,0,1,1,0,7,1,1,1,0,3,0
191,起亚,2.5,17.89,10.64,153,天津,0,1,1,2,7,1,1,0,0,1,12
192,哈弗,3.0,12.07,11.67,107,天津,0,1,0,2,3,1,1,0,0,3,5
193,海马,0.6,3.94,5.05,126,梅州,0,1,0,1,7,0,0,0,0,1,10
194,荣威,0.68,14.74,10.64,151,郑州,1,1,0,0,7,1,0,1,0,1,8
195,大众,2.3,18.43,12.81,138,潍坊,0,1,0,1,3,1,1,0,0,3,4
196,奇瑞,0.55,8.01,12.05,143,深圳,1,1,0,0,7,1,0,1,0,1,7
197,雪铁龙,2.3,11.24,6.76,98,黔西南,0,1,0,0,7,1,1,1,0,2,4
198,长城,1.2,6.73,8.32,125,潍坊,0,1,0,0,7,0,0,1,0,2,3
199,斯柯达,2.3,14.35,3.77,109,武汉,0,1,0,0,7,1,1,1,0,3,0
200,名爵,1.6,15.28,9.98,136,成都,0,1,1,1,15,0,1,0,0,1,9
201,五菱汽车,0.9,4.2,8.58,156,郑州,0,1,0,0,30,1,0,1,0,3,0
202,大众,1.98,23.53,15.68,172,成都,1,1,0,3,30,1,1,0,0,1,11
203,本田,1.5,10.93,11.86,168,成都,0,1,0,1,30,0,0,0,0,1,8
204,五菱汽车,1.8,3.21,5.2,66,成都,0,1,0,1,15,0,0,0,0,3,0
205,别克,3.0,15.92,8.29,97,成都,0,1,1,0,15,1,1,1,0,1,12
206,现代,2.2,13.0,18.11,123,郑州,0,1,0,0,30,1,0,1,0,3,0
207,铃木,1.9,5.41,7.39,86,郑州,0,1,0,0,15,1,0,1,0,3,0
208,奇瑞,1.3,5.37,3.83,101,成都,0,1,0,0,30,1,1,1,0,3,3
209,江淮,0.99,7.9,12.31,138,郑州,0,1,0,1,30,1,0,0,0,1,12
210,奔腾,1.2,14.09,6.62,153,成都,1,1,0,1,30,1,1,0,0,3,5
211,东风小康,1.6,3.22,5.73,35,郑州,0,0,0,0,15,1,0,1,0,3,3
212,大众,1.18,10.2,9.27,168,合肥,1,1,1,2,7,1,0,0,0,1,7
213,别克,1.2,11.25,16.99,137,南充,0,1,0,2,7,0,0,0,0,2,4
214,大众,1.35,8.34,18.79,133,南通,0,1,0,1,3,1,1,0,0,1,6
215,别克,1.5,10.42,18.23,116,郑州,0,1,0,1,30,1,0,0,0,3,0
216,吉利汽车,2.0,6.14,7.32,78,遂宁,0,1,0,1,15,1,1,0,0,3,0
217,现代,1.3,9.36,19.81,154,西安,1,1,0,1,15,1,0,0,0,1,10
218,大众,2.88,8.96,11.79,111,成都,0,1,0,0,3,0,0,1,0,1,10
219,雪佛兰,3.0,7.18,2.72,54,张家口,0,0,1,0,3,1,0,1,0,3,0
220,雪铁龙,2.3,11.14,9.18,119,成都,0,1,0,1,30,0,0,0,0,1,6
221,标致,2.0,11.03,12.76,142,郑州,0,1,1,0,30,1,0,1,0,3,2
222,标致,1.2,9.68,12.44,146,成都,1,1,0,0,15,0,0,1,0,1,10
223,本田,2.0,9.36,16.44,118,福州,0,1,0,0,3,1,1,1,0,3,0
224,别克,2.5,12.29,6.83,117,南京,0,1,1,0,3,1,0,1,0,3,3
225,雪佛兰,3.0,11.46,10.46,88,成都,0,1,0,0,30,0,0,1,0,3,0
226,现代,1.56,11.45,13.84,142,成都,0,1,0,1,3,1,0,0,0,3,0
227,东风小康,1.0,2.91,3.63,101,郑州,0,1,0,0,15,1,0,1,0,3,0
228,雪铁龙,3.0,9.99,6.34,77,成都,0,0,0,0,15,0,0,1,0,3,1
229,标致,1.9,12.71,9.95,122,郑州,0,1,0,2,15,0,0,0,0,3,0
230,五菱汽车,1.9,4.78,20.82,83,成都,0,0,0,0,3,1,1,1,0,1,6
231,大众,3.0,12.7,16.4,161,北京,0,1,0,0,7,1,0,1,0,1,10
232,雪铁龙,0.6,7.7,9.14,138,成都,0,1,0,0,15,1,1,1,0,3,0
233,比亚迪,0.58,3.85,8.2,156,郑州,0,1,0,0,15,1,0,1,0,3,0
234,五菱汽车,1.2,7.59,15.08,132,佛山,0,1,0,0,3,0,0,1,0,3,0
235,雪佛兰,1.65,12.5,9.33,147,成都,0,1,0,1,3,1,0,0,0,3,0
236,长安,2.98,12.79,4.51,83,成都,0,1,0,0,3,1,1,1,0,3,1
237,大众,2.48,15.52,12.06,140,郑州,0,1,0,0,30,1,0,1,0,3,0
238,雪佛兰,1.39,5.92,12.73,118,成都,0,1,0,0,7,1,1,1,0,3,0
239,标致,2.88,11.04,8.57,101,成都,0,0,0,0,3,1,0,1,0,3,2
240,众泰,2.7,12.57,5.77,82,保定,0,0,1,1,3,1,1,0,0,3,3
241,五菱汽车,2.5,5.19,4.7,56,沈阳,0,0,0,0,7,1,0,1,0,1,16
242,起亚,2.3,19.95,16.29,129,阜阳,0,1,1,0,3,1,0,1,0,3,4
243,日产,2.0,12.18,14.12,156,成都,1,1,1,0,15,0,0,1,0,1,12
244,五菱汽车,1.28,7.59,25.02,124,惠州,0,1,0,0,3,1,0,1,0,1,7
245,北汽威旺,1.5,4.15,6.78,87,宁波,0,0,0,1,3,1,0,0,0,3,0
246,北汽幻速,2.5,7.07,6.02,67,开封,0,0,0,0,30,1,0,1,0,3,2
247,东南,1.58,6.03,11.66,101,沈阳,0,1,0,2,3,1,1,0,0,1,7
248,长安,2.58,4.89,4.54,48,成都,0,0,0,1,3,1,0,0,0,3,0
249,五菱汽车,2.2,4.36,3.63,83,成都,0,0,0,0,15,1,1,1,0,3,0
250,起亚,2.8,8.33,6.73,97,宁波,0,1,0,0,3,1,0,1,0,3,0
251,五菱汽车,3.0,5.19,2.02,60,沈阳,0,0,0,0,3,1,0,1,0,2,4
252,铃木,2.1,9.57,15.07,168,成都,1,1,1,0,3,1,1,1,0,3,0
253,福特,2.9,10.31,8.95,102,连云港,0,1,1,1,3,1,1,0,0,3,2
254,雪铁龙,1.8,8.74,7.95,99,潍坊,0,1,0,0,3,1,1,1,0,3,3
255,雪佛兰,1.18,8.54,11.6,137,成都,1,1,0,0,3,1,1,1,0,3,0
256,雪铁龙,1.86,26.05,12.26,164,成都,1,1,1,0,3,1,1,1,0,3,0
257,标致,2.28,13.23,15.21,106,成都,0,1,0,0,3,1,1,1,0,3,0
258,标致,1.65,10.83,4.36,125,潍坊,0,1,0,1,3,1,1,0,0,3,0
259,福特,2.9,17.68,14.01,120,汕尾,0,1,1,0,3,1,0,1,0,3,0
260,比亚迪,2.0,12.61,10.37,106,合肥,0,1,1,1,3,1,0,0,0,3,0
261,众泰,1.58,6.55,7.03,98,成都,0,1,0,0,1,1,1,1,0,3,0
262,五菱汽车,1.68,5.3,8.49,97,武汉,0,0,0,0,3,1,0,1,0,3,1
263,海马,1.0,6.24,11.46,139,成都,0,1,0,2,3,0,1,0,0,1,6
264,比亚迪,2.7,21.88,15.6,93,上海,0,0,1,0,3,1,1,1,0,1,6
