,二手车价格,品牌,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
10994,7.0,1,15.93,13.92,58,2,0,0,1,1,30,0,0,0,0,1,6
10995,6.7,1,32.54,13.87,125,0,0,1,1,4,15,1,1,0,0,2,2
10996,6.0,1,14.63,12.5,93,2,0,1,1,0,15,1,0,1,0,3,3
10997,6.5,0,9.99,0.59,96,0,0,0,1,0,15,1,0,1,1,3,0
10998,6.88,1,16.15,11.24,54,0,0,0,1,0,30,0,0,1,0,2,4
10999,6.6,1,14.47,4.3,49,1,0,0,1,0,15,1,1,1,0,3,5
11000,6.0,1,14.59,1.57,70,0,0,0,1,0,15,1,0,1,0,3,3
11001,6.8,1,40.71,8.3,118,0,0,1,1,0,30,0,0,1,0,3,1
11002,7.0,1,20.17,11.33,110,0,0,1,1,0,15,1,1,1,0,1,8
11003,7.0,1,14.09,2.61,45,0,0,0,1,0,15,1,0,1,0,3,0
11004,7.0,1,12.6,5.98,26,1,0,0,1,0,15,1,1,1,0,3,0
11005,6.6,1,16.15,9.04,94,0,0,1,1,1,15,1,0,0,0,3,0
11006,6.6,1,14.59,6.55,64,0,0,0,1,0,15,1,0,1,0,1,7
11007,6.5,1,25.64,12.78,59,2,0,0,1,2,15,1,1,0,0,3,0
11008,6.38,0,15.84,3.25,66,1,0,0,1,0,15,1,1,1,0,3,2
11009,6.58,0,16.67,14.03,52,1,0,0,1,0,30,1,0,1,0,1,6
11010,6.5,1,19.8,5.67,79,0,0,0,1,0,15,1,0,1,0,3,2
11011,6.5,1,12.49,8.84,64,1,0,0,1,0,15,1,1,1,0,1,7
11012,6.0,1,13.23,4.13,66,0,0,0,1,0,15,1,0,1,0,3,2
11013,6.6,1,13.13,2.94,24,2,0,0,1,0,15,1,0,1,0,3,0
11014,6.5,0,54.06,11.3,168,1,1,1,1,2,15,1,0,0,0,3,0
11015,6.2,1,14.28,1.27,50,2,0,0,1,0,15,1,1,1,0,3,3
11016,6.0,1,12.8,16.85,30,0,0,0,1,0,15,0,1,1,0,2,5
11017,6.0,1,24.62,19.08,137,1,1,1,1,0,15,0,0,1,0,1,15
11018,6.5,0,25.43,9.33,101,1,0,1,1,1,15,1,1,0,0,3,4
11019,6.7,1,32.65,11.53,131,1,0,1,1,1,30,1,0,0,0,3,0
11020,6.8,1,25.27,12.66,106,2,0,1,1,0,15,1,1,1,0,3,0
11021,6.8,1,16.25,6.81,78,1,0,0,1,0,15,1,0,1,0,3,2
11022,6.98,1,15.62,7.14,65,1,0,0,1,1,15,1,0,0,0,3,4
11023,6.5,1,10.3,1.56,29,0,0,0,0,0,15,0,0,1,0,3,0
11024,6.38,1,12.49,4.81,47,1,0,0,1,0,15,1,0,1,0,3,1
11025,6.88,1,14.06,8.81,85,1,0,0,1,0,15,1,0,1,0,3,2
11026,6.5,0,11.97,2.57,47,0,0,0,1,0,15,1,0,1,0,2,3
11027,7.0,0,14.26,11.84,71,1,0,0,1,0,15,0,0,1,0,2,4
11028,6.5,1,9.26,4.56,67,1,0,0,1,0,15,1,0,1,0,3,0
11029,7.0,1,12.8,0.83,12,0,0,0,1,0,15,0,0,1,1,1,7
11030,6.0,1,12.49,6.06,56,0,0,0,1,0,15,1,0,1,0,3,4
11031,6.98,0,42.65,9.2,93,1,0,0,1,0,30,1,1,1,0,3,4
11032,6.3,1,13.55,4.51,66,0,0,0,1,0,15,1,0,1,0,3,3
11033,6.4,1,10.63,0.95,40,1,0,0,1,0,30,1,1,1,0,3,2
11034,6.5,1,11.98,0.05,24,0,0,0,1,0,30,1,0,1,1,3,0
11035,6.8,1,13.02,6.59,38,0,0,0,0,0,15,0,0,1,0,3,2
11036,6.0,1,17.81,12.64,78,1,0,0,1,0,15,0,0,1,0,2,4
11037,6.5,0,13.22,3.48,82,1,0,1,1,0,15,1,0,1,0,3,1
11038,7.0,0,11.25,2.92,32,0,0,0,1,0,15,0,0,1,0,3,0
11039,6.88,1,10.42,6.21,51,1,0,0,1,0,15,1,1,1,0,3,3
11040,6.5,1,12.71,4.13,49,1,0,0,0,0,15,0,0,1,0,3,1
11041,6.8,0,10.93,3.27,36,1,0,0,0,0,15,0,0,1,0,2,3
11042,6.3,1,19.42,5.74,85,1,0,0,1,0,15,0,0,1,0,2,5
11043,6.6,1,10.63,2.54,43,1,0,0,1,0,3,1,1,1,0,3,0
11044,6.2,1,11.76,4.91,47,1,0,0,1,0,3,1,0,1,0,3,0
11045,6.7,1,14.37,7.23,70,0,0,0,1,1,3,1,1,0,0,3,5
11046,6.3,1,25.27,12.24,108,1,0,1,1,1,3,1,0,0,0,1,8
11047,7.0,0,21.04,14.58,47,2,0,0,1,0,3,1,1,1,0,3,1
11048,6.2,1,27.12,11.87,82,0,0,0,1,0,15,1,0,1,0,2,4
11049,6.38,1,13.01,3.93,68,0,0,0,1,0,3,1,0,1,0,3,0
11050,7.0,0,23.97,8.68,66,2,0,0,1,0,3,1,0,1,0,1,6
