,y_test,xgb_y_pred,y_test,,,,,,,,,,,
158,27.88,29.43701744,27.88,,,,,,,,,,,
159,5,5.581388474,5,,,,,,,,,,,
160,5.18,4.581859589,5.18,,,,,,,,,,,
161,10,8.951468468,10,,,,,,,,,,,
162,1.6,2.022013903,1.6,,,,,,,,,,,
163,11,11.117383,11,,,,,,,,,,,
164,16,15.78309727,16,,,,,,,,,,,
165,32,32.09107971,32,,,,,,,,,,,
166,18.98,18.16159439,18.98,,,,,,,,,,,
167,3.98,3.977673769,3.98,,,,,,,,,,,
168,17,17.36961365,17,,,,,,,,,,,
169,6.98,8.156990051,6.98,,,,,,,,,,,
170,25,24.65609741,25,,,,,,,,,,,
171,14,12.45641613,14,,,,,,,,,,,
172,20,18.63673973,20,,,,,,,,,,,
173,3.7,3.469506025,3.7,,,,,,,,,,,
174,18.5,20.74822044,18.5,,,,,,,,,,,
175,16.8,16.67828751,16.8,,,,,,,,,,,
176,19.5,21.28785133,19.5,,,,,,,,,,,
177,15.8,14.89841843,15.8,,,,,,,,,,,
178,27.98,28.08215523,27.98,,,,,,,,,,,
179,6.6,6.394055367,6.6,,,,,,,,,,,
180,6,6.720337868,6,,,,,,,,,,,
181,6,5.990009308,6,,,,,,,,,,,
182,6,5.993666172,6,,,,,,,,,,,
183,18.3,14.59614563,18.3,,,,,,,,,,,
184,6.3,7.727995872,6.3,,,,,,,,,,,
185,17.38,16.73118782,17.38,,,,,,,,,,,
186,11,10.98698807,11,,,,,,,,,,,
187,4.8,3.447538137,4.8,,,,,,,,,,,
188,25.8,27.81423759,25.8,,,,,,,,,,,
189,4.8,3.872273922,4.8,,,,,,,,,,,
190,21.5,21.81106186,21.5,,,,,,,,,,,
191,11.5,11.8332777,11.5,,,,,,,,,,,
192,15,14.96150875,15,,,,,,,,,,,
193,6,7.53389883,6,,,,,,,,,,,
194,17,16.94288063,17,,,,,,,,,,,
195,33,33.05324554,33,,,,,,,,,,,
196,25,21.92767525,25,,,,,,,,,,,
197,3.88,4.900115967,3.88,,,,,,,,,,,
198,14.2,14.13956451,14.2,,,,,,,,,,,
199,10,9.87769413,10,,,,,,,,,,,
200,8.3,10.57282829,8.3,,,,,,,,,,,
201,25,25.51115417,25,,,,,,,,,,,
202,5.5,5.715712547,5.5,,,,,,,,,,,
203,34.6,35.44923401,34.6,,,,,,,,,,,
204,6.2,6.441779137,6.2,,,,,,,,,,,
205,32,31.9720974,32,,,,,,,,,,,
206,8,7.836699009,8,,,,,,,,,,,
207,3.9,5.09286356,3.9,,,,,,,,,,,
208,15.5,15.6518507,15.5,,,,,,,,,,,
209,1.55,2.483668089,1.55,,,,,,,,,,,
210,15.6,16.07718849,15.6,,,,,,,,,,,
211,36,35.89806747,36,,,,,,,,,,,
212,10.5,9.160434723,10.5,,,,,,,,,,,
213,13.8,11.10757256,13.8,,,,,,,,,,,
214,17.8,12.3774395,17.8,,,,,,,,,,,
215,19.3,19.6718235,19.3,,,,,,,,,,,
216,33,33.15647888,33,,,,,,,,,,,
217,22,21.79693985,22,,,,,,,,,,,
218,19,21.14050674,19,,,,,,,,,,,
219,32,34.56524277,32,,,,,,,,,,,
220,36,35.65047073,36,,,,,,,,,,,
221,21,16.09561157,21,,,,,,,,,,,
222,19.44,18.86130333,19.44,,,,,,,,,,,
223,31.8,33.47645187,31.8,,,,,,,,,,,
224,4,4.04372406,4,,,,,,,,,,,
225,31.49,26.74499512,31.49,,,,,,,,,,,
226,27.5,29.16792297,27.5,,,,,,,,,,,
227,3,3.141972065,3,,,,,,,,,,,
228,16.9,16.15910912,16.9,,,,,,,,,,,
229,5.5,6.689843178,5.5,,,,,,,,,,,
